2012,12,5,39,34,28,30,26,24,84,71,56,30.41,30.34,30.25,10,10,10,14,9,20,0,0,0,0,0,160,41.635,84.999,2,1.112e+05
2012,12,6,41,35,29,37,32,26,89,81,71,30.16,30.01,29.93,10,10,10,9,6,16,0,0,0,0,0,160,41.635,84.999,0,1.112e+05
2012,12,7,44,42,39,43,41,36,100,97,87,29.96,29.91,29.85,10,4,2,9,2,9,0.07,0,1,0,0,160,41.635,84.999,0,1.112e+05
2012,12,8,42,38,33,42,37,30,100,93,84,30.11,29.97,29.81,10,7,2,16,5,21,0.04,0,1,0,0,160,41.635,84.999,0,1.112e+05
2012,12,9,41,36,32,42,36,30,100,95,89,30.11,29.86,29.7,10,6,1,16,10,21,0.02,0,1,0,0,160,41.635,84.999,0,1.112e+05
2012,12,10,37,33,29,35,30,27,100,92,82,29.92,29.78,29.69,10,6,0,17,11,22,0.02,0,0,1,0,160,41.635,84.999,0,1.112e+05
2012,12,11,32,28,24,28,23,20,92,80,63,30.17,30.04,29.91,10,10,7,18,9,21,0,0,0,1,0,160,41.635,84.999,0,1.112e+05
2012,12,12,40,31,22,28,24,19,91,77,57,30.33,30.28,30.18,10,10,7,13,6,17,0,0,0,0,0,160,41.635,84.999,4,1.112e+05
2012,12,13,44,36,28,29,25,23,83,70,50,30.32,30.25,30.16,10,10,10,16,7,24,0,0,0,0,0,160,41.635,84.999,0,1.112e+05
2012,12,14,46,34,23,31,28,22,96,77,56,30.23,30.17,30.08,10,10,10,7,3,7,0,0,0,0,0,160,41.635,84.999,1,1.112e+05
2012,12,15,49,40,32,48,39,28,99,86,65,30.07,29.81,29.62,10,8,3,15,6,24,0.12,0,1,0,0,160,41.635,84.999,10,1.112e+05
2012,12,16,48,42,36,47,41,34,97,91,83,29.73,29.66,29.61,10,8,2,14,9,18,0,0,1,0,0,160,41.635,84.999,0,1.112e+05
2012,12,17,39,37,35,34,33,32,94,87,77,29.74,29.7,29.64,10,7,5,8,3,8,0,0,0,0,0,160,41.635,84.999,1,1.112e+05
2012,12,18,39,34,29,36,32,27,96,89,82,29.8,29.72,29.64,10,6,4,13,5,17,0,0,1,0,0,160,41.635,84.999,1,1.112e+05
2012,12,19,41,38,35,37,35,34,95,88,78,30.06,29.97,29.77,7,6,2,20,8,28,0,0,0,0,0,160,41.635,84.999,0,1.112e+05
2012,12,20,50,41,32,49,38,32,98,92,73,29.79,29.32,29.07,10,6,2,25,17,44,0.76,0,1,1,0,160,41.635,84.999,382,1.112e+05
2012,12,21,33,30,28,32,27,24,99,87,80,30.11,29.79,29.32,10,8,1,33,23,45,0.04,0,0,1,0,160,41.635,84.999,600,1.112e+05
2012,12,22,27,22,18,24,20,16,95,84,70,30.2,30.11,29.96,10,10,7,14,8,22,0,0,0,0,0,160,41.635,84.999,3,1.112e+05
2012,12,23,33,24,14,29,22,13,96,88,78,30.01,29.96,29.9,10,8,5,8,1,8,0,0,0,0,0,160,41.635,84.999,49,1.112e+05
2012,12,24,32,28,24,27,24,22,88,83,76,30.05,29.9,29.82,10,10,10,12,6,12,0,0,0,0,0,160,41.635,84.999,0,1.112e+05
2012,12,25,32,26,19,24,21,17,94,77,63,30.28,30.2,30.04,10,10,7,15,6,21,0,0,0,0,0,160,41.635,84.999,0,1.112e+05
2012,12,26,29,28,26,25,22,18,90,79,70,30.16,29.99,29.9,10,8,1,23,14,30,0,0,0,1,0,160,41.635,84.999,0,1.112e+05
2012,12,27,32,29,26,28,25,23,96,85,77,30.16,30.11,30.02,10,10,7,10,4,10,0,0,0,0,0,160,41.635,84.999,1,1.112e+05
2012,12,28,30,28,25,28,26,24,97,90,80,30.12,30.02,29.86,10,7,1,9,3,9,0,0,0,1,0,160,41.635,84.999,3,1.112e+05
2012,12,29,31,26,21,31,25,18,99,91,81,30.19,29.95,29.84,10,4,1,15,5,22,0,0,0,1,0,160,41.635,84.999,0,1.112e+05
2012,12,30,28,20,12,22,17,10,93,81,71,30.36,30.26,30.14,10,8,4,14,9,16,0,0,0,0,0,160,41.635,84.999,1,1.112e+05
2012,12,31,34,30,25,27,23,20,81,76,68,30.13,30.05,29.99,10,10,5,15,10,21,0,0,0,1,0,160,41.635,84.999,0,1.112e+05
2013,1,1,28,20,11,22,16,4,82,73,64,30.16,30.12,30.06,10,10,10,12,6,9,0,0,0,1,0,160,41.635,84.999,1,1.1132e+05
2013,1,2,21,15,9,12,6,3,78,68,54,30.21,30.16,30.13,10,10,10,13,6,13,0,0,0,0,0,160,41.635,84.999,1,1.1132e+05
2013,1,3,29,21,13,25,18,6,88,78,67,30.24,30.17,30.11,10,8,2,15,9,22,0,0,0,1,0,160,41.635,84.999,1,1.1132e+05
