STATION,STATION_NAME,DATE,QGAG,QPCP
COOP:123418,GOSHEN 3 SW IN US,20090306 15:00,4.23,-9999
COOP:123418,GOSHEN 3 SW IN US,20090306 20:45,4.22,-9999
COOP:123418,GOSHEN 3 SW IN US,20090307 07:30,4.23,0.1
COOP:123418,GOSHEN 3 SW IN US,20090307 19:30,4.24,0.1
COOP:123418,GOSHEN 3 SW IN US,20090307 20:00,4.25,0.1
COOP:123418,GOSHEN 3 SW IN US,20090307 20:30,4.26,0.1
COOP:123418,GOSHEN 3 SW IN US,20090307 20:45,4.27,0.1
COOP:123418,GOSHEN 3 SW IN US,20090307 21:00,4.28,0.1
COOP:123418,GOSHEN 3 SW IN US,20090307 21:45,4.29,0.1
COOP:123418,GOSHEN 3 SW IN US,20090307 22:45,4.3,0.1
COOP:123418,GOSHEN 3 SW IN US,20090308 03:00,4.31,0.1
COOP:123418,GOSHEN 3 SW IN US,20090308 04:00,4.32,0.1
COOP:123418,GOSHEN 3 SW IN US,20090308 05:00,4.33,0.1
COOP:123418,GOSHEN 3 SW IN US,20090308 05:30,4.34,0.1
COOP:123418,GOSHEN 3 SW IN US,20090308 06:30,4.35,0.1
COOP:123418,GOSHEN 3 SW IN US,20090308 08:00,4.36,0.1
COOP:123418,GOSHEN 3 SW IN US,20090308 08:15,4.37,0.1
COOP:123418,GOSHEN 3 SW IN US,20090308 09:00,4.38,0.1
COOP:123418,GOSHEN 3 SW IN US,20090308 09:45,4.39,0.1
COOP:123418,GOSHEN 3 SW IN US,20090308 10:15,4.4,0.1
COOP:123418,GOSHEN 3 SW IN US,20090308 11:45,4.41,0.1
COOP:123418,GOSHEN 3 SW IN US,20090308 14:00,4.42,0.1
COOP:123418,GOSHEN 3 SW IN US,20090308 16:00,4.43,0.1
COOP:123418,GOSHEN 3 SW IN US,20090308 17:00,4.44,0.1
COOP:123418,GOSHEN 3 SW IN US,20090308 17:15,4.46,0.2
COOP:123418,GOSHEN 3 SW IN US,20090308 17:30,4.47,0.1
COOP:123418,GOSHEN 3 SW IN US,20090310 06:30,4.48,0.1
COOP:123418,GOSHEN 3 SW IN US,20090310 07:30,4.49,0.1
COOP:123418,GOSHEN 3 SW IN US,20090310 08:00,4.5,0.1
COOP:123418,GOSHEN 3 SW IN US,20090310 08:15,4.51,0.1
COOP:123418,GOSHEN 3 SW IN US,20090310 08:30,4.52,0.1
COOP:123418,GOSHEN 3 SW IN US,20090310 09:15,4.53,0.1
COOP:123418,GOSHEN 3 SW IN US,20090310 11:30,4.54,0.1
COOP:123418,GOSHEN 3 SW IN US,20090310 16:30,4.57,0.3
COOP:123418,GOSHEN 3 SW IN US,20090310 18:45,4.58,0.1
COOP:123418,GOSHEN 3 SW IN US,20090310 22:00,4.59,0.1
COOP:123418,GOSHEN 3 SW IN US,20090310 22:30,4.6,0.1
COOP:123418,GOSHEN 3 SW IN US,20090310 23:00,4.61,0.1
COOP:123418,GOSHEN 3 SW IN US,20090310 23:15,4.62,0.1
COOP:123418,GOSHEN 3 SW IN US,20090310 23:30,4.63,0.1
COOP:123418,GOSHEN 3 SW IN US,20090325 04:45,4.64,0.1
COOP:123418,GOSHEN 3 SW IN US,20090328 19:45,4.65,0.1
COOP:123418,GOSHEN 3 SW IN US,20090328 20:15,4.66,0.1
COOP:123418,GOSHEN 3 SW IN US,20090328 23:30,4.67,0.1
COOP:123418,GOSHEN 3 SW IN US,20090329 00:15,4.69,0.1
COOP:123418,GOSHEN 3 SW IN US,20090329 00:30,4.7,0.1
COOP:123418,GOSHEN 3 SW IN US,20090329 01:00,4.71,0.1
COOP:123418,GOSHEN 3 SW IN US,20090329 06:45,4.72,0.1
COOP:123418,GOSHEN 3 SW IN US,20090329 16:30,4.73,0.1
COOP:123418,GOSHEN 3 SW IN US,20090331 19:00,4.74,0.1
COOP:123418,GOSHEN 3 SW IN US,20090401 00:15,4.75,0
COOP:123418,GOSHEN 3 SW IN US,20090403 00:45,4.77,0.1
COOP:123418,GOSHEN 3 SW IN US,20090403 01:30,4.78,0.1
COOP:123418,GOSHEN 3 SW IN US,20090403 02:00,4.79,0.1
COOP:123418,GOSHEN 3 SW IN US,20090403 02:45,4.8,0.1
COOP:123418,GOSHEN 3 SW IN US,20090403 03:15,4.81,0.1
COOP:123418,GOSHEN 3 SW IN US,20090403 03:30,4.82,0.1
COOP:123418,GOSHEN 3 SW IN US,20090403 03:45,4.83,0.1
COOP:123418,GOSHEN 3 SW IN US,20090403 04:30,4.84,0.1
COOP:123418,GOSHEN 3 SW IN US,20090404 07:30,4.84,-9999
COOP:123418,GOSHEN 3 SW IN US,20090404 08:15,4.84,-9999
COOP:123418,GOSHEN 3 SW IN US,20090405 15:45,4.85,0.1
COOP:123418,GOSHEN 3 SW IN US,20090405 16:45,4.86,0.1
COOP:123418,GOSHEN 3 SW IN US,20090405 17:30,4.87,0.1
COOP:123418,GOSHEN 3 SW IN US,20090405 18:45,4.88,0.1
COOP:123418,GOSHEN 3 SW IN US,20090405 19:30,4.89,0.1
COOP:123418,GOSHEN 3 SW IN US,20090405 20:15,4.9,0.1
COOP:123418,GOSHEN 3 SW IN US,20090405 20:45,4.91,0.1
COOP:123418,GOSHEN 3 SW IN US,20090405 21:15,4.92,0.1
COOP:123418,GOSHEN 3 SW IN US,20090405 21:45,4.93,0.1
COOP:123418,GOSHEN 3 SW IN US,20090405 22:30,4.94,0.1
COOP:123418,GOSHEN 3 SW IN US,20090406 03:45,4.96,0.1
COOP:123418,GOSHEN 3 SW IN US,20090406 09:00,4.98,0.2
COOP:123418,GOSHEN 3 SW IN US,20090413 12:15,4.99,0.1
COOP:123418,GOSHEN 3 SW IN US,20090413 13:00,5,0.1
COOP:123418,GOSHEN 3 SW IN US,20090413 14:15,5.01,0.1
COOP:123418,GOSHEN 3 SW IN US,20090414 00:15,5.02,0.1
COOP:123418,GOSHEN 3 SW IN US,20090419 12:00,5.03,0.1
COOP:123418,GOSHEN 3 SW IN US,20090419 20:00,5.04,0.1
COOP:123418,GOSHEN 3 SW IN US,20090419 21:15,5.05,0.1
COOP:123418,GOSHEN 3 SW IN US,20090419 22:30,5.06,0.1
COOP:123418,GOSHEN 3 SW IN US,20090420 00:15,5.07,0.1
COOP:123418,GOSHEN 3 SW IN US,20090420 06:45,5.08,0.1
COOP:123418,GOSHEN 3 SW IN US,20090420 23:45,5.09,0.1
COOP:123418,GOSHEN 3 SW IN US,20090421 00:45,5.1,0.1
COOP:123418,GOSHEN 3 SW IN US,20090421 16:15,5.11,0.1
COOP:123418,GOSHEN 3 SW IN US,20090427 23:00,5.12,0.1
COOP:123418,GOSHEN 3 SW IN US,20090428 00:15,5.14,0.1
COOP:123418,GOSHEN 3 SW IN US,20090428 00:45,5.15,0.1
COOP:123418,GOSHEN 3 SW IN US,20090428 01:00,5.16,0.1
COOP:123418,GOSHEN 3 SW IN US,20090428 01:30,5.17,0.1
COOP:123418,GOSHEN 3 SW IN US,20090428 01:45,5.18,0.1
COOP:123418,GOSHEN 3 SW IN US,20090428 15:15,5.19,0.1
COOP:123418,GOSHEN 3 SW IN US,20090429 11:30,5.18,-9999
COOP:123418,GOSHEN 3 SW IN US,20090430 10:00,5.19,0.1
COOP:123418,GOSHEN 3 SW IN US,20090430 11:15,5.2,0.1
COOP:123418,GOSHEN 3 SW IN US,20090430 12:45,5.21,0.1
COOP:123418,GOSHEN 3 SW IN US,20090430 15:45,5.22,0.1
COOP:123418,GOSHEN 3 SW IN US,20090430 20:00,5.22,-9999
COOP:123418,GOSHEN 3 SW IN US,20090501 00:15,-9999,0
COOP:123418,GOSHEN 3 SW IN US,20090509 21:00,4.19,-9999
COOP:123418,GOSHEN 3 SW IN US,20090510 17:30,4.2,0.1
COOP:123418,GOSHEN 3 SW IN US,20090513 08:45,4.21,0.1
COOP:123418,GOSHEN 3 SW IN US,20090513 09:45,4.22,0.1
COOP:123418,GOSHEN 3 SW IN US,20090513 10:15,4.23,0.1
COOP:123418,GOSHEN 3 SW IN US,20090514 01:30,4.24,0.1
COOP:123418,GOSHEN 3 SW IN US,20090514 02:00,4.25,0.1
COOP:123418,GOSHEN 3 SW IN US,20090514 02:15,4.26,0.1
COOP:123418,GOSHEN 3 SW IN US,20090514 02:30,4.27,0.1
COOP:123418,GOSHEN 3 SW IN US,20090514 02:45,4.31,0.4
COOP:123418,GOSHEN 3 SW IN US,20090514 03:15,4.32,0.1
COOP:123418,GOSHEN 3 SW IN US,20090514 08:30,4.32,-9999
COOP:123418,GOSHEN 3 SW IN US,20090514 08:45,999.99,999.99
COOP:123418,GOSHEN 3 SW IN US,20090514 10:00,999.99,999.99
COOP:123418,GOSHEN 3 SW IN US,20090514 10:15,4.33,-9999
COOP:123418,GOSHEN 3 SW IN US,20090515 14:00,4.34,0.1
COOP:123418,GOSHEN 3 SW IN US,20090515 15:00,4.35,0.1
COOP:123418,GOSHEN 3 SW IN US,20090515 15:15,4.36,0.1
COOP:123418,GOSHEN 3 SW IN US,20090515 15:30,4.37,0.1
COOP:123418,GOSHEN 3 SW IN US,20090515 15:45,4.38,0.1
COOP:123418,GOSHEN 3 SW IN US,20090515 16:00,4.39,0.1
COOP:123418,GOSHEN 3 SW IN US,20090515 17:30,4.4,0.1
COOP:123418,GOSHEN 3 SW IN US,20090515 18:45,4.42,0.2
COOP:123418,GOSHEN 3 SW IN US,20090515 19:15,4.43,0.1
COOP:123418,GOSHEN 3 SW IN US,20090515 23:00,4.44,0.1
COOP:123418,GOSHEN 3 SW IN US,20090515 23:30,4.45,0.1
COOP:123418,GOSHEN 3 SW IN US,20090516 00:30,4.47,0.1
COOP:123418,GOSHEN 3 SW IN US,20090516 01:00,4.48,0.1
COOP:123418,GOSHEN 3 SW IN US,20090516 14:30,4.49,0.1
COOP:123418,GOSHEN 3 SW IN US,20090518 18:30,4.49,0.1
COOP:123418,GOSHEN 3 SW IN US,20090526 18:00,4.5,0.1
COOP:123418,GOSHEN 3 SW IN US,20090526 19:30,4.52,0.2
COOP:123418,GOSHEN 3 SW IN US,20090526 20:00,4.53,0.1
COOP:123418,GOSHEN 3 SW IN US,20090526 21:30,4.54,0.1
COOP:123418,GOSHEN 3 SW IN US,20090526 22:15,4.55,0.1
COOP:123418,GOSHEN 3 SW IN US,20090526 22:30,4.56,0.1
COOP:123418,GOSHEN 3 SW IN US,20090526 23:00,4.57,0.1
COOP:123418,GOSHEN 3 SW IN US,20090526 23:15,4.58,0.1
COOP:123418,GOSHEN 3 SW IN US,20090526 23:30,4.59,0.1
COOP:123418,GOSHEN 3 SW IN US,20090526 23:45,4.6,0.1
COOP:123418,GOSHEN 3 SW IN US,20090527 12:45,4.61,0.1
COOP:123418,GOSHEN 3 SW IN US,20090529 09:30,4.61,-9999
COOP:123418,GOSHEN 3 SW IN US,20090530 12:15,4.61,-9999
COOP:123418,GOSHEN 3 SW IN US,20090531 09:45,4.61,-9999
