STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT03,WT04,WT05,WT06,WT11
US1INLK0008,"HAMMOND 3.0 SW, IN US",2/28/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/1/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/2/2009,0.08,0.4,0.4,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/3/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/4/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/5/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/6/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/7/2009,0.09,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/8/2009,2.18,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/9/2009,0.55,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/10/2009,1.22,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/11/2009,0.28,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/12/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/13/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/14/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/15/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/16/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/17/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/18/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/19/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/20/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/21/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/22/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/23/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/24/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/25/2009,0.08,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/26/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/27/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/28/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/29/2009,1.28,0.1,0.1,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/30/2009,0.26,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",3/31/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/1/2009,0.45,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/2/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/3/2009,0.39,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/4/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/5/2009,0.01,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/6/2009,1.38,1.3,1.3,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/7/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/8/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/9/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/10/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/11/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/12/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/13/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/14/2009,0.67,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/15/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/16/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/17/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/18/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/19/2009,0.06,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/20/2009,0.61,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/21/2009,0.12,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/22/2009,0.08,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/23/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/24/2009,0.19,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/25/2009,0,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/26/2009,0.52,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/27/2009,0.14,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/28/2009,1.06,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",4/29/2009,0.2,0,0,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/1/2009,0.38,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/2/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/3/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/4/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/5/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/6/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/7/2009,0.06,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/8/2009,0.05,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/9/2009,0.04,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/10/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/11/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/12/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/13/2009,0.24,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/14/2009,0.75,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/15/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/16/2009,1.15,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/17/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/18/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/19/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/20/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/21/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/22/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/23/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/24/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/25/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/26/2009,0.14,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/27/2009,0.95,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/28/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/30/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",5/31/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/1/2009,0.12,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/2/2009,0.43,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/3/2009,0.03,,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/4/2009,0,0,,,,,,,,,,,,
US1INLK0008,"HAMMOND 3.0 SW, IN US",6/5/2009,0,0,,,,,,,,,,,,
