"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN"
"US1INEL0027","41.714","-85.9832","235.0","2009-11-15","0.08",,
"US1INEL0027","41.714","-85.9832","235.0","2009-11-16","0.13",,
"US1INEL0027","41.714","-85.9832","235.0","2009-11-17","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2009-11-18","0.10",,
"US1INEL0027","41.714","-85.9832","235.0","2009-11-22","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2009-11-23","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2009-11-24","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2009-11-25","0.37",,
"US1INEL0027","41.714","-85.9832","235.0","2009-11-28","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2009-11-29","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2009-11-30","0.10",,
"US1INEL0027","41.714","-85.9832","235.0","2009-12-03","0.12",,
"US1INEL0027","41.714","-85.9832","235.0","2009-12-04","0.03",,
"US1INEL0027","41.714","-85.9832","235.0","2009-12-05","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2009-12-07","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2009-12-08","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2009-12-09","0.50",,
"US1INEL0027","41.714","-85.9832","235.0","2010-03-11","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2010-03-12","0.71",,
"US1INEL0027","41.714","-85.9832","235.0","2011-09-27","0.72",,
"US1INEL0027","41.714","-85.9832","235.0","2011-09-28","0.60",,
"US1INEL0027","41.714","-85.9832","235.0","2011-09-29","0.40",,
"US1INEL0027","41.714","-85.9832","235.0","2011-09-30","0.49",,
"US1INEL0027","41.714","-85.9832","235.0","2011-10-01","0.02",,
"US1INEL0027","41.714","-85.9832","235.0","2011-10-02","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-10-03","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-10-04","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-10-05","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-10-06","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-10-07","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-10-08","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-10-09","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-10-10","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-10-11","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-10-12","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-10-13","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-10-14","0.54",,
"US1INEL0027","41.714","-85.9832","235.0","2011-10-15","0.12",,
"US1INEL0027","41.714","-85.9832","235.0","2011-10-16","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-10-17","0.21",,
"US1INEL0027","41.714","-85.9832","235.0","2011-11-05","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-11-06","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-11-07","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-11-08","0.16",,
"US1INEL0027","41.714","-85.9832","235.0","2011-11-09","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-11-10","0.28",,
"US1INEL0027","41.714","-85.9832","235.0","2011-11-11","0.05",,
"US1INEL0027","41.714","-85.9832","235.0","2011-11-12","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-11-13","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-11-14","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-11-15","0.81",,
"US1INEL0027","41.714","-85.9832","235.0","2011-11-16","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-11-17","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-11-25","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-11-26","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-11-27","0.34",,
"US1INEL0027","41.714","-85.9832","235.0","2011-11-28","0.32",,
"US1INEL0027","41.714","-85.9832","235.0","2011-11-29","0.78",,
"US1INEL0027","41.714","-85.9832","235.0","2011-11-30","0.33",,
"US1INEL0027","41.714","-85.9832","235.0","2011-12-01","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-12-02","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-12-03","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-12-04","0.18",,
"US1INEL0027","41.714","-85.9832","235.0","2011-12-05","0.06",,
"US1INEL0027","41.714","-85.9832","235.0","2011-12-09","0.09",,
"US1INEL0027","41.714","-85.9832","235.0","2011-12-12","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-12-13","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-12-14","0.28",,
"US1INEL0027","41.714","-85.9832","235.0","2011-12-15","1.10",,
"US1INEL0027","41.714","-85.9832","235.0","2011-12-16","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-12-17","0.00",,
"US1INEL0027","41.714","-85.9832","235.0","2011-12-18","0.00",,
"US1INEL0028","41.5387","-85.8028","249.0","2009-05-16","1.48",,
"US1INEL0028","41.5387","-85.8028","249.0","2009-05-27","0.93",,
"US1INEL0028","41.5387","-85.8028","249.0","2009-05-28","0.02",,
"US1INEL0028","41.5387","-85.8028","249.0","2009-06-01","0.15",,
"US1INEL0028","41.5387","-85.8028","249.0","2009-06-02","0.28",,
"US1INEL0028","41.5387","-85.8028","249.0","2009-06-03","0.10",,
"US1INEL0028","41.5387","-85.8028","249.0","2009-06-05","0.00",,
"US1INEL0028","41.5387","-85.8028","249.0","2009-06-19","0.28",,
"US1INEL0028","41.5387","-85.8028","249.0","2009-07-02","0.05",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-02-09","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-01","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-02","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-03","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-04","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-05","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-06","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-07","0.02",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-12","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-13","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-14","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-15","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-16","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-17","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-18","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-19","0.08",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-20","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-21","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-22","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-23","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-24","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-25","0.09",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-26","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-28","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-29","0.80",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-30","0.06",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-03-31","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-01","0.29",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-02","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-03","0.88",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-04","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-05","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-06","1.26",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-07","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-08","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-09","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-10","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-11","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-12","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-13","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-14","0.50",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-15","0.04",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-16","0.00",,
"US1INEL0029","41.4472","-85.8595","249.9","2009-04-17","0.00",,
