
Date / Time: Thu Mar 30 23:48:34 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 1
 - 10
Tests per train(min): 10
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
Particle (0):: Fit: 23.9184	PB: 23.9184	LB: 23.9184	GB: 23.9184	Conf: 2	Pts: 110099
Particle (1):: Fit: 29.0891	PB: 29.0891	LB: 29.0891	GB: 29.0891	Conf: 2	Pts: 110099
Particle (2):: Fit: 7.03118	PB: 7.03118	LB: 29.0891	GB: 29.0891	Conf: 0.873012	Pts: 55099
Particle (3):: Fit: 20.9013	PB: 20.9013	LB: 29.0891	GB: 29.0891	Conf: 2	Pts: 60099
Particle (4):: Fit: 29.5335	PB: 29.5335	LB: 29.5335	GB: 29.5335	Conf: 0.428906	Pts: 110099
Particle (5):: Fit: 26.6129	PB: 26.6129	LB: 29.5335	GB: 29.5335	Conf: 2	Pts: 55099
Particle (6):: Fit: 26.6129	PB: 26.6129	LB: 29.5335	GB: 29.5335	Conf: 2	Pts: 55099
Particle (7):: Fit: 19.0231	PB: 19.0231	LB: 29.5335	GB: 29.5335	Conf: 1.86003	Pts: 55099
Particle (8):: Fit: 23.874	PB: 23.874	LB: 29.5335	GB: 29.5335	Conf: 1.81325	Pts: 60099
Particle (9):: Fit: 26.6129	PB: 26.6129	LB: 26.6129	GB: 29.5335	Conf: 2	Pts: 65099
Particle (10):: Fit: 20.8451	PB: 20.8451	LB: 26.6129	GB: 29.5335	Conf: 0.678351	Pts: 55099
Particle (11):: Fit: 25.4101	PB: 25.4101	LB: 26.6129	GB: 29.5335	Conf: 1.66472	Pts: 60099
Particle (12):: Fit: 23.9184	PB: 23.9184	LB: 26.6129	GB: 29.5335	Conf: 2	Pts: 55099
Particle (13):: Fit: 32.3928	PB: 32.3928	LB: 32.3928	GB: 32.3928	Conf: 0.727165	Pts: 110099
Particle (14):: Fit: 26.6129	PB: 26.6129	LB: 32.3928	GB: 32.3928	Conf: 2	Pts: 55099
Particle (15):: Fit: 26.6678	PB: 26.6678	LB: 32.3928	GB: 32.3928	Conf: 1.27362	Pts: 60099
Particle (16):: Fit: 23.9184	PB: 23.9184	LB: 32.3928	GB: 32.3928	Conf: 2	Pts: 55099
Particle (17):: Fit: 26.934	PB: 26.934	LB: 32.3928	GB: 32.3928	Conf: 0.29683	Pts: 70099
Particle (18):: Fit: 17.4048	PB: 17.4048	LB: 26.934	GB: 32.3928	Conf: 0.938842	Pts: 55099
Particle (19):: Fit: 29.485	PB: 29.485	LB: 29.485	GB: 32.3928	Conf: 0.994772	Pts: 80099
Particle (20):: Fit: 20.9013	PB: 20.9013	LB: 29.485	GB: 32.3928	Conf: 2	Pts: 55099
