
Date / Time: Thu Mar 30 17:45:43 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 1
 - 10
Tests per train(min): 10
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
Particle (0):: Fit: 15.6518	PB: 15.6518	LB: 15.6518	GB: 15.6518	Conf: 2	Pts: 110099
Particle (1):: Fit: 17.9671	PB: 17.9671	LB: 17.9671	GB: 17.9671	Conf: 2	Pts: 110099
Particle (2):: Fit: 24.292	PB: 24.292	LB: 24.292	GB: 24.292	Conf: 2	Pts: 110099
Particle (3):: Fit: 20.3107	PB: 20.3107	LB: 24.292	GB: 24.292	Conf: 1.23779	Pts: 55099
Particle (4):: Fit: 13.0782	PB: 13.0782	LB: 24.292	GB: 24.292	Conf: 1.89934	Pts: 55099
Particle (5):: Fit: 15.6518	PB: 15.6518	LB: 24.292	GB: 24.292	Conf: 2	Pts: 60099
Particle (6):: Fit: 10.4991	PB: 10.4991	LB: 24.292	GB: 24.292	Conf: 2	Pts: 55099
Particle (7):: Fit: 24.292	PB: 24.292	LB: 24.292	GB: 24.292	Conf: 2	Pts: 75099
Particle (8):: Fit: 20.1648	PB: 20.1648	LB: 24.292	GB: 24.292	Conf: 2	Pts: 55099
Particle (9):: Fit: 44.2341	PB: 44.2341	LB: 44.2341	GB: 44.2341	Conf: 0.968404	Pts: 110099
Particle (10):: Fit: 18.0675	PB: 18.0675	LB: 44.2341	GB: 44.2341	Conf: 1.65271	Pts: 55099
Particle (11):: Fit: 20.0942	PB: 20.0942	LB: 44.2341	GB: 44.2341	Conf: 1.51444	Pts: 60099
Particle (12):: Fit: 13.187	PB: 13.187	LB: 44.2341	GB: 44.2341	Conf: 2	Pts: 55099
Particle (13):: Fit: 18.0833	PB: 18.0833	LB: 44.2341	GB: 44.2341	Conf: 1.12647	Pts: 60099
Particle (14):: Fit: 13.187	PB: 13.187	LB: 20.0942	GB: 44.2341	Conf: 2	Pts: 55099
Particle (15):: Fit: 22.2665	PB: 22.2665	LB: 22.2665	GB: 44.2341	Conf: 2	Pts: 80099
Particle (16):: Fit: 35.0504	PB: 35.0504	LB: 35.0504	GB: 44.2341	Conf: 1.83631	Pts: 85099
Particle (17):: Fit: 20.1648	PB: 20.1648	LB: 35.0504	GB: 44.2341	Conf: 2	Pts: 55099
Particle (18):: Fit: 17.9671	PB: 17.9671	LB: 35.0504	GB: 44.2341	Conf: 2	Pts: 55099
