
Date / Time: Thu Mar 30 18:16:07 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 1
 - 10
Tests per train(min): 10
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
Particle (0):: Fit: 17.2518	PB: 17.2518	LB: 17.2518	GB: 17.2518	Conf: 2	Pts: 110099
Particle (1):: Fit: 17.2629	PB: 17.2629	LB: 17.2629	GB: 17.2629	Conf: 0.789771	Pts: 110099
Particle (2):: Fit: 21.879	PB: 21.879	LB: 21.879	GB: 21.879	Conf: 2	Pts: 110099
Particle (3):: Fit: 44.9109	PB: 44.9109	LB: 44.9109	GB: 44.9109	Conf: 1.26657	Pts: 110099
Particle (4):: Fit: 26.0698	PB: 26.0698	LB: 44.9109	GB: 44.9109	Conf: 2	Pts: 55099
Particle (5):: Fit: 24.0165	PB: 24.0165	LB: 44.9109	GB: 44.9109	Conf: 2	Pts: 55099
Particle (6):: Fit: 32.1842	PB: 32.1842	LB: 44.9109	GB: 44.9109	Conf: 1.87447	Pts: 65099
Particle (7):: Fit: 21.879	PB: 21.879	LB: 44.9109	GB: 44.9109	Conf: 2	Pts: 55099
Particle (8):: Fit: 24.0165	PB: 24.0165	LB: 32.1842	GB: 44.9109	Conf: 2	Pts: 60099
Particle (9):: Fit: 22.1151	PB: 22.1151	LB: 32.1842	GB: 44.9109	Conf: 1.07422	Pts: 55099
Particle (10):: Fit: 24.0165	PB: 24.0165	LB: 32.1842	GB: 44.9109	Conf: 2	Pts: 60099
Particle (11):: Fit: 40.0542	PB: 40.0542	LB: 40.0542	GB: 44.9109	Conf: 1.54783	Pts: 90099
Particle (12):: Fit: 7.34778	PB: 7.34778	LB: 40.0542	GB: 44.9109	Conf: 0.668701	Pts: 55099
Particle (13):: Fit: 43.4984	PB: 43.4984	LB: 43.4984	GB: 44.9109	Conf: 1.9	Pts: 100099
Particle (14):: Fit: 14.687	PB: 14.687	LB: 43.4984	GB: 44.9109	Conf: 2	Pts: 55099
Particle (15):: Fit: 4.16994	PB: 4.16994	LB: 43.4984	GB: 44.9109	Conf: 0.833122	Pts: 55099
Particle (16):: Fit: 26.0698	PB: 26.0698	LB: 43.4984	GB: 44.9109	Conf: 2	Pts: 65099
Particle (17):: Fit: 17.2518	PB: 17.2518	LB: 43.4984	GB: 44.9109	Conf: 2	Pts: 55099
Particle (18):: Fit: 21.9629	PB: 21.9629	LB: 26.0698	GB: 44.9109	Conf: 1.71719	Pts: 60099
Particle (19):: Fit: 38.6342	PB: 38.6342	LB: 38.6342	GB: 44.9109	Conf: 1.49131	Pts: 80099
Particle (20):: Fit: 24.1726	PB: 24.1726	LB: 38.6342	GB: 44.9109	Conf: 1.87143	Pts: 55099
Particle (21):: Fit: 21.879	PB: 21.879	LB: 38.6342	GB: 44.9109	Conf: 2	Pts: 55099
Particle (22):: Fit: 19.6337	PB: 19.6337	LB: 38.6342	GB: 44.9109	Conf: 2	Pts: 55099
Particle (23):: Fit: 14.7555	PB: 14.7555	LB: 38.6342	GB: 44.9109	Conf: 0.193437	Pts: 55099
Particle (24):: Fit: 17.2518	PB: 17.2518	LB: 24.1726	GB: 44.9109	Conf: 2	Pts: 60099
Particle (25):: Fit: 14.687	PB: 14.687	LB: 21.879	GB: 44.9109	Conf: 2	Pts: 55099
Particle (26):: Fit: 21.879	PB: 21.879	LB: 21.879	GB: 44.9109	Conf: 2	Pts: 75099
Particle (27):: Fit: 24.0165	PB: 24.0165	LB: 24.0165	GB: 44.9109	Conf: 2	Pts: 85099
Particle (28):: Fit: 14.687	PB: 14.687	LB: 24.0165	GB: 44.9109	Conf: 2	Pts: 55099
Particle (29):: Fit: 25.3302	PB: 25.3302	LB: 25.3302	GB: 44.9109	Conf: 1.6363	Pts: 100099
Particle (30):: Fit: 19.6337	PB: 19.6337	LB: 25.3302	GB: 44.9109	Conf: 2	Pts: 55099
Particle (31):: Fit: 10.6409	PB: 10.6409	LB: 25.3302	GB: 44.9109	Conf: 1.1089	Pts: 55099
Particle (32):: Fit: 24.4353	PB: 24.4353	LB: 25.3302	GB: 44.9109	Conf: 1.73556	Pts: 65099
Particle (33):: Fit: 26.0698	PB: 26.0698	LB: 26.0698	GB: 44.9109	Conf: 2	Pts: 100099
Particle (34):: Fit: 19.6337	PB: 19.6337	LB: 26.0698	GB: 44.9109	Conf: 2	Pts: 55099
Particle (35):: Fit: 19.6337	PB: 19.6337	LB: 26.0698	GB: 44.9109	Conf: 2	Pts: 55099
Particle (36):: Fit: 19.6437	PB: 19.6437	LB: 26.0698	GB: 44.9109	Conf: 0.00565304	Pts: 65099
Particle (37):: Fit: 48.4062	PB: 48.4062	LB: 48.4062	GB: 48.4062	Conf: 1.86129	Pts: 110099
Particle (38):: Fit: 19.6337	PB: 19.6337	LB: 48.4062	GB: 48.4062	Conf: 2	Pts: 55099
Particle (39):: Fit: 17.2518	PB: 17.2518	LB: 48.4062	GB: 48.4062	Conf: 2	Pts: 55099
Particle (40):: Fit: 19.7254	PB: 19.7254	LB: 48.4062	GB: 48.4062	Conf: 1.65889	Pts: 65099
