
Date / Time: Thu Mar 30 14:21:26 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 2
 - 10
 - 4
Tests per train(min): 10
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
Particle (48):: Fit: 5.72214	PB: 5.72214	LB: 13.2426	GB: 14.5239	Conf: 0.54092	Pts: 50099
Particle (49):: Fit: 8.66466	PB: 8.66466	LB: 13.2426	GB: 14.5239	Conf: 0.825416	Pts: 50099
Global: 14.5239 - Correct: 90% of 10 tests
Global Best: 
  Inner Net 1
  -- 1 : 1 = 0.4401
  -- 1 : 2 = 0.7344
  -- 1 : 3 = 0.5678
  -- 1 : 4 = 0.293
  -- 1 : 5 = 0.787
  -- 1 : 6 = 0.6831
  -- 1 : 7 = 0.9537
  -- 1 : 8 = 0.7768
  -- 1 : 9 = 0.6749
  -- 1 : 10 = 0.3168
  -- 2 : 1 = 0.2595
  -- 2 : 2 = 0.2802
  -- 2 : 3 = 0.9293
  -- 2 : 4 = 0.1606
  -- 2 : 5 = 0.0347
  -- 2 : 6 = 0.6508
  -- 2 : 7 = 0.2826
  -- 2 : 8 = 0.384
  -- 2 : 9 = 0.9262
  -- 2 : 10 = 0.6119
  -- 3 : 1 = 0.1487
  -- 3 : 2 = 0.4618
  -- 3 : 3 = 0.1666
  -- 3 : 4 = 0.3007
  -- 3 : 5 = 0.0348
  -- 3 : 6 = 0.9879
  -- 3 : 7 = 0.098
  -- 3 : 8 = 0.2364
  -- 3 : 9 = 0.1976
  -- 3 : 10 = 0.923
  -- 4 : 1 = 0.3902
  -- 4 : 2 = 0.5622
  -- 4 : 3 = 0.5144
  -- 4 : 4 = 0.0931
  -- 4 : 5 = 0.6787
  -- 4 : 6 = 0.1149
  -- 4 : 7 = 0.1136
  -- 4 : 8 = 0.7735
  -- 4 : 9 = 0.9453
  -- 4 : 10 = 0.5479
  -- 5 : 1 = 0.9225
  -- 5 : 2 = 0.389
  -- 5 : 3 = 0.1049
  -- 5 : 4 = 0.4651
  -- 5 : 5 = 0.2756
  -- 5 : 6 = 0.12
  -- 5 : 7 = 0.2113
  -- 5 : 8 = 0.5133
  -- 5 : 9 = 0.6782
  -- 5 : 10 = 0.6602
  -- 6 : 1 = 0.0859
  -- 6 : 2 = 0.8203
  -- 6 : 3 = 0.2709
  -- 6 : 4 = 0.0855
  -- 6 : 5 = 0.1824
  -- 6 : 6 = 0.5112
  -- 6 : 7 = 0.5354
  -- 6 : 8 = 0.4179
  -- 6 : 9 = 0.5823
  -- 6 : 10 = 0.3687
  -- 7 : 1 = 0.2167
  -- 7 : 2 = 0.2734
  -- 7 : 3 = 0.5666
  -- 7 : 4 = 0.3531
  -- 7 : 5 = 0.0643
  -- 7 : 6 = 0.9191
  -- 7 : 7 = 0.9186
  -- 7 : 8 = 0.7244
  -- 7 : 9 = 0.1075
  -- 7 : 10 = 0.4491
  -- 8 : 1 = 0.6343
  -- 8 : 2 = 0.0828
  -- 8 : 3 = 0.034
  -- 8 : 4 = 0.6809
  -- 8 : 5 = 0.4738
  -- 8 : 6 = 0.3626
  -- 8 : 7 = 0.911
  -- 8 : 8 = 0.4392
  -- 8 : 9 = 0.8591
  -- 8 : 10 = 0.7575
  -- 9 : 1 = 0.6507
  -- 9 : 2 = 0.4251
  -- 9 : 3 = 0.8901
  -- 9 : 4 = 0.9335
  -- 9 : 5 = 0.2256
  -- 9 : 6 = 0.0163
  -- 9 : 7 = 0.5856
  -- 9 : 8 = 0.4635
  -- 9 : 9 = 0.3755
  -- 9 : 10 = 0.9654
  -- 10 : 1 = 0.8593
  -- 10 : 2 = 0.3469
  -- 10 : 3 = 0.919
  -- 10 : 4 = 0.7871
  -- 10 : 5 = 0.7667
  -- 10 : 6 = 0.3627
  -- 10 : 7 = 0.5355
  -- 10 : 8 = 0.5878
  -- 10 : 9 = 0.8737
  -- 10 : 10 = 0.0743
  Inner Net 2
  -- 1 : 1 = 0.9441
  -- 1 : 2 = 0.6194
  -- 1 : 3 = 0.4503
  -- 1 : 4 = 0.4654
  -- 2 : 1 = 0.5765
  -- 2 : 2 = 0.31
  -- 2 : 3 = 0.279
  -- 2 : 4 = 0.5
  -- 3 : 1 = 0.1804
  -- 3 : 2 = 0.0101
  -- 3 : 3 = 0.6749
  -- 3 : 4 = 0.0048
  -- 4 : 1 = 0.6008
  -- 4 : 2 = 0.081
  -- 4 : 3 = 0.3972
  -- 4 : 4 = 0.1492
  -- 5 : 1 = 0.5161
  -- 5 : 2 = 0.2871
  -- 5 : 3 = 0.9898
  -- 5 : 4 = 0.5823
  -- 6 : 1 = 0.2694
  -- 6 : 2 = 0.8602
  -- 6 : 3 = 0.6753
  -- 6 : 4 = 0.5813
  -- 7 : 1 = 0.2317
  -- 7 : 2 = 0.0106
  -- 7 : 3 = 0.0632
  -- 7 : 4 = 0.4687
  -- 8 : 1 = 0.3911
  -- 8 : 2 = 0.8056
  -- 8 : 3 = 0.521
  -- 8 : 4 = 0.6072
  -- 9 : 1 = 0.4543
  -- 9 : 2 = 0.994
  -- 9 : 3 = 0.1909
  -- 9 : 4 = 0.015
  -- 10 : 1 = 0.8581
  -- 10 : 2 = 0.7251
  -- 10 : 3 = 0.2702
  -- 10 : 4 = 0.7245
  Inner Net 3
  -- 1 : 1 = -0.2458
  -- 1 : 2 = 0.0871
  -- 2 : 1 = -0.345466
  -- 2 : 2 = -0.00461667
  -- 3 : 1 = 0.342893
  -- 3 : 2 = 0.4152
  -- 4 : 1 = -0.0779746
  -- 4 : 2 = 0.0386
Out\Act	False		True
False	0	0.84198	0.84198
True	0	0.15802	0.15802
	0	1
	Accuracy [ (tp + tn) / testSize ]: 0.15802
	Precision [ tp / (tp + fp) ]:      0.157945
	Sensitivity [ tp / (tp + fn) ]:    0.996997
	Specificity [ tn / (tn + fp) ]:    0
	F-Score [ 2tp / (2tp + fp + fn) ]: 0.272802
Particle (2):: Fit: 8.70555	PB: 8.70555	LB: 13.2426	GB: 14.5239	Conf: 0.28568	Pts: 55198
Particle (4):: Fit: 13.262	PB: 13.262	LB: 13.262	GB: 14.5239	Conf: 0.695381	Pts: 95198
Particle (6):: Fit: 9.96289	PB: 9.96289	LB: 13.262	GB: 14.5239	Conf: 0.0386302	Pts: 55198
Particle (7):: Fit: 10.1212	PB: 10.1212	LB: 14.5239	GB: 14.5239	Conf: 0.214686	Pts: 70198
Particle (14):: Fit: 11.7464	PB: 11.7464	LB: 14.5239	GB: 14.5239	Conf: 0.67663	Pts: 65197
Particle (20):: Fit: 5.72404	PB: 5.72404	LB: 10.1677	GB: 14.5239	Conf: 0.531837	Pts: 55198
Particle (21):: Fit: 3.31689	PB: 3.31689	LB: 10.1677	GB: 14.5239	Conf: 0.0714138	Pts: 55198
