
Date / Time: Thu Mar 30 23:50:48 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 1
 - 10
Tests per train(min): 10
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
Particle (49):: Fit: 31.232	PB: 31.232	LB: 76.1769	GB: 76.1769	Conf: 2	Pts: 50099
Global: 76.1769 - Correct: 60% of 10 tests
Global Best: 
  Inner Net 1
  -- 1 : 1 = 0.5139
  -- 1 : 2 = 0.8572
  -- 1 : 3 = 0.6133
  -- 1 : 4 = 0.2762
  -- 1 : 5 = 0.3086
  -- 1 : 6 = 0.1285
  -- 1 : 7 = 0.5062
  -- 1 : 8 = 0.7781
  -- 1 : 9 = 0.1449
  -- 1 : 10 = 0.3287
  -- 2 : 1 = 0.9423
  -- 2 : 2 = 0.7635
  -- 2 : 3 = 0.2673
  -- 2 : 4 = 0.167
  -- 2 : 5 = 0.4863
  -- 2 : 6 = 0.5448
  -- 2 : 7 = 0.3759
  -- 2 : 8 = 0.7175
  -- 2 : 9 = 0.478
  -- 2 : 10 = 0.6549
  -- 3 : 1 = 0.6044
  -- 3 : 2 = 0.2783
  -- 3 : 3 = 0.0098
  -- 3 : 4 = 0.8498
  -- 3 : 5 = 0.8564
  -- 3 : 6 = 0.4955
  -- 3 : 7 = 0.3102
  -- 3 : 8 = 0.9053
  -- 3 : 9 = 0.6138
  -- 3 : 10 = 0.0258
  -- 4 : 1 = 0.2043
  -- 4 : 2 = 0.813
  -- 4 : 3 = 0.1837
  -- 4 : 4 = 0.1257
  -- 4 : 5 = 0.5642
  -- 4 : 6 = 0.5179
  -- 4 : 7 = 0.6394
  -- 4 : 8 = 0.3798
  -- 4 : 9 = 0.8327
  -- 4 : 10 = 0.0793
  -- 5 : 1 = 0.173
  -- 5 : 2 = 0.9111
  -- 5 : 3 = 0.8249
  -- 5 : 4 = 0.3972
  -- 5 : 5 = 0.1774
  -- 5 : 6 = 0.4547
  -- 5 : 7 = 0.1258
  -- 5 : 8 = 0.7695
  -- 5 : 9 = 0.0688
  -- 5 : 10 = 0.6832
  -- 6 : 1 = 0.6537
  -- 6 : 2 = 0.1648
  -- 6 : 3 = 0.1963
  -- 6 : 4 = 0.1655
  -- 6 : 5 = 0.278
  -- 6 : 6 = 0.2239
  -- 6 : 7 = 0.5893
  -- 6 : 8 = 0.0246
  -- 6 : 9 = 0.0009
  -- 6 : 10 = 0.894
  -- 7 : 1 = 0.5051
  -- 7 : 2 = 0.6149
  -- 7 : 3 = 0.9287
  -- 7 : 4 = 0.6022
  -- 7 : 5 = 0.3414
  -- 7 : 6 = 0.1146
  -- 7 : 7 = 0.8192
  -- 7 : 8 = 0.0217
  -- 7 : 9 = 0.6158
  -- 7 : 10 = 0.4608
  -- 8 : 1 = 0.0314
  -- 8 : 2 = 0.2328
  -- 8 : 3 = 0.238
  -- 8 : 4 = 0.4326
  -- 8 : 5 = 0.8487
  -- 8 : 6 = 0.7324
  -- 8 : 7 = 0.8228
  -- 8 : 8 = 0.6772
  -- 8 : 9 = 0.8777
  -- 8 : 10 = 0.9691
  -- 9 : 1 = 0.3475
  -- 9 : 2 = 0.4851
  -- 9 : 3 = 0.3882
  -- 9 : 4 = 0.8588
