
Date / Time: Thu Mar 30 14:48:59 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 2
 - 10
 - 4
Tests per train(min): 10
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
Particle (0):: Fit: 2.68066	PB: 2.68066	LB: 2.68066	GB: 2.68066	Conf: 0.0739147	Pts: 110099
Particle (1):: Fit: 3.36901	PB: 3.36901	LB: 3.36901	GB: 3.36901	Conf: 0.0551626	Pts: 110099
Particle (2):: Fit: 4.06537	PB: 4.06537	LB: 4.06537	GB: 4.06537	Conf: 0.13697	Pts: 110099
Particle (3):: Fit: 24.5833	PB: 24.5833	LB: 24.5833	GB: 24.5833	Conf: 0.942677	Pts: 110099
Particle (4):: Fit: 12.6366	PB: 12.6366	LB: 24.5833	GB: 24.5833	Conf: 0.348801	Pts: 55099
Particle (5):: Fit: 3.36953	PB: 3.36953	LB: 24.5833	GB: 24.5833	Conf: 0.0575483	Pts: 55099
Particle (6):: Fit: 5.48176	PB: 5.48176	LB: 24.5833	GB: 24.5833	Conf: 0.337158	Pts: 60099
Particle (7):: Fit: 14.9472	PB: 14.9472	LB: 24.5833	GB: 24.5833	Conf: 0.717489	Pts: 70099
Particle (8):: Fit: 14.8834	PB: 14.8834	LB: 14.9472	GB: 24.5833	Conf: 0.807562	Pts: 55099
Particle (9):: Fit: 4.70528	PB: 4.70528	LB: 14.9472	GB: 24.5833	Conf: 0.896547	Pts: 55099
Particle (10):: Fit: 12.6311	PB: 12.6311	LB: 14.9472	GB: 24.5833	Conf: 0.308411	Pts: 60099
Particle (11):: Fit: 9.91483	PB: 9.91483	LB: 14.9472	GB: 24.5833	Conf: 0.854391	Pts: 55099
Particle (12):: Fit: 12.3213	PB: 12.3213	LB: 14.8834	GB: 24.5833	Conf: 0.897844	Pts: 60099
Particle (13):: Fit: 4.04268	PB: 4.04268	LB: 12.6311	GB: 24.5833	Conf: 0.0728501	Pts: 55099
Particle (14):: Fit: 6.89365	PB: 6.89365	LB: 12.6311	GB: 24.5833	Conf: 0.461633	Pts: 60099
Particle (15):: Fit: 17.2697	PB: 17.2697	LB: 17.2697	GB: 24.5833	Conf: 0.869539	Pts: 100099
Particle (16):: Fit: 14.8247	PB: 14.8247	LB: 17.2697	GB: 24.5833	Conf: 0.866665	Pts: 55099
Particle (17):: Fit: 19.6666	PB: 19.6666	LB: 19.6666	GB: 24.5833	Conf: 0.938534	Pts: 100099
Particle (18):: Fit: 12.4815	PB: 12.4815	LB: 19.6666	GB: 24.5833	Conf: 0.028318	Pts: 55099
Particle (19):: Fit: 14.9391	PB: 14.9391	LB: 19.6666	GB: 24.5833	Conf: 0.268448	Pts: 60099
Particle (20):: Fit: 15.0024	PB: 15.0024	LB: 19.6666	GB: 24.5833	Conf: 0.537952	Pts: 65099
Particle (21):: Fit: 10.2577	PB: 10.2577	LB: 19.6666	GB: 24.5833	Conf: 0.208262	Pts: 55099
